石头城是对我国哪座城市的美称?,南昌,南京,拉萨,西安,B
 "山城"是我国哪座城市的雅号?,洛阳 ,西安,重庆,福州,C
 峨眉山位于我国哪个省份?,四川,云南,贵州,西藏,A
我国面积最大的湖泊是？,青海湖,鄱阳湖,洞庭湖,太湖,A
"""鲁""是我国哪个省份的简称？",河北,吉林,山东,山西,C
下列哪个国家被称为"袋鼠之国"?,索马里,新西兰,澳大利亚,肯尼亚,C
下列哪一个城市不是我国的"三大火炉"(高温)之一?,重庆,成都,武汉,南京,B
著名风景区九寨沟位于我国哪个省?,台湾,云南,广西,四川,D
下列我国哪个古迹被誉为"世界八大奇迹"？,万里长城,乐山大佛,秦始皇兵马俑,敦煌,C
美国"自由女神"座落在哪个城市?,纽约,华盛顿,洛杉矶,旧金山,A
我国进行抗美援朝是在哪一年?,1949,1950,1951,1952,B
比喻变被动为主动是"三十六计"中的哪一计?,声东击西,李代桃僵,欲擒故纵,反客为主,D
信号弹白天也可以发射，只是要用什么样的信号颜色?,黄色,白色,绿色,红色,D
左轮手枪一共可装几颗子弹?,5颗,6颗,7颗,8颗,B
下列古都哪个被称为"六朝古都"？,洛阳,西安,南京,北京,C
下列古代四大美女哪位是西汉时期的?,西施,王昭君,貂婵,杨贵妃,B
世界上使用人数最多的语言是？,英语,汉语,西班牙语,世界语,B
表示一句话中间的停顿要用什么标点符号?,逗号,顿号,分号,重点号,B
成语"凿壁偷光"是出自哪位古代人物的苦学故事?,孔子,孙敬,车胤,匡衡,D
下列成语中哪个有错别字？,万马齐喑,不骄不躁,按步就班,变本加厉,C
下列国家中哪一个国家的人口还不够一亿人？,尼日利亚,印尼,朝鲜,巴西,C
有"世界童话之王"之称的安徒生是何国人?,荷兰,瑞典,挪威,丹麦,D
小说《金瓶梅》属于哪一类小说?,谴责小说,言情小说,市井小说,侠义小说,B
我国共有多少个少数民族?,50,51,55,56,55
我国少数民族中人口最多的是？,壮族,蒙古族,回族,藏族,A
我国婚姻法规定女性结婚年龄不得早于多少周岁?,　16周岁,18周岁,20周岁,22周岁,C
下列数字中哪一个是西方人最忌讳的？,4,7,8,13,D
愚人节是在每一年的哪一天?,3月1日,4月1日,4月4日,4月5日,B
下列电话行特种号码哪个是"火警"？,110,119,120,122,B
铅笔有硬软之分，用英文字母来表示，下列符号相比哪个表示较硬？,"""H""","""HB""","""B""", "2B",A
"""下半旗致哀""的由来是源于什么人物的去世？",族长,酋长,船长,皇帝,C
第一届奥运会什么时候开始举行?,1890年,1894年,1896年,1900年,C
女子游泳衣称"比基尼"，这个名字源于什么名?,设计师,运动员,模特,小岛,D
围棋共有多少个棋子?,360,361,362,365,B
下列哪一个口号不是奥运会的口号?,更高,更快,更强,更好,D
饱食后不宜做剧烈运动这是因为？,会得阑尾炎,有障消化,导致神经衰弱,呕吐,B
我国的基本政治制度是什么?,人民民主专政制度,民主集中制,人民代表大会制度,多党执政制度,C
咖啡的故乡是哪里?,亚洲,美洲,大洋洲,非洲,D
色盲患者最普遍的不易分辨的颜色是什么?,红绿,蓝绿,红蓝,绿蓝,A
下列哪种症状没有理由是遗传的?,精神分裂症,近视,糖尿病,口吃,D
泼水节是我国哪个少数民族的传统节日?,彝族,回族,壮族,傣族,D
香港回归祖国的时间是？,1996,1997,1998,1999,B
下列名画哪一幅拍卖价最高？,《鸢尾花》,《向日葵》,《洗衣女郎》,《野花之宴》,A
我国解放前哪一部电影名片是周旋、赵丹主演的?,《一江春水向东流》,《天字第一号》,《母与子》,《马路天使》,D
荷兰的风车主要用于？,排水,发电,观光,,A
被称为“万园之园”的是指？,苏州园林,圆明园,乔家大院,,B
哪个年龄的人话最多？,6～12岁儿童,70~80的老人,40~50的中年,,A
旧时妇女的发髻上喜插一支银簪，簪子的最初作用是？,梳子,笛子,防身武器,,C
最早的扇子是用什么做的？,羽毛,竹子,贝壳,,A
“沉鱼落雁，闭月羞花”中“闭月”是指？,王昭君,貂禅,杨贵妃,,B
你知道蚊子吸血是为了什么吗？,发育,补充能量,交配,产卵,D
校园歌曲《童年》的词曲作者是？,罗大佑,李宗盛,周杰伦,,A
马是怎样睡觉的？,站着睡,躺着睡,倒着睡,,A
人体最坚硬的部分是？,牙齿,头盖骨,指甲,,A
世界上最大最深的海是？,日本海,珊瑚海,南海,,B
麻婆豆腐的起源是哪？,京,川,湘,,B
国际风筝节我国哪一城市举行？,青岛,潍坊,北京,,B
“西红柿炒鸡蛋”天津人叫？,西红柿炒鸡蛋,番茄炒蛋,火柿子炒鸡子儿,,C
请问下列哪个是张国荣的电影作品？,《重庆森林》,《霸王别姬》,《东邪西毒》,《花样年华》,B
系列电影《加勒比海盗》是哪间电影公司的作品？,梦工厂,华纳,迪士尼,好莱坞,C
和陈冠希恋爱并爆出亲密照的嫩模是？,昆凌,谢芷蕙,周秀娜,潘霜霜,B
王菲2011巡唱成都站门票最高为？,2999元,3999元,4999元,1999元,B
she中没有结婚的是那位成员？,Selina,Hebe,Ella,都结婚了,B
下面哪位艺人自曝喜欢看人擦窗户?,林志颖,袁咏仪,周杰伦,王力宏,D
《十月围城》中的故事发生的地点是?,广州,北京,日本,香港,D
香港娱乐圈是一个相当发达的行业集合，被称为?,东方好莱坞,中国好莱坞,亚洲好莱坞,,A
2010年春晚谁凭借魔术表演一炮走红？,刘谦,秦鸣晓,杨杰,,A
黄晓明的出生地是?,北京,福建,山东,,C
周润发的出生地是?,北京,广东,山东,,B
吃太多手摇爆米花机爆出的米花会导致?,癌症,铅中毒,胃下垂,皮肤病,B
白兔的眼睛为什么是红色的？,视网膜的颜色,虹膜的颜色,角膜的颜色?,血液的颜色,D
猪心情很好时尾巴会呈什么形状？,水平摆动,卷成圈状,向上翘起,爱你的形状,A
农夫有 17 只羊，除了 9 只以外都病死了，农夫还有几只羊？,8只,9只,没有羊,1只,B
扑克牌最早起源于哪个国家？,中国,法国,西班牙,丹麦,A
狗为什么总伸着舌头喘气??,散热,跑得太快,帮助呼吸,,A
平时吃水果为什么要削皮？,节约,有农药污染,皮不好吃,,B
我国第一大淡水湖是？,洞庭湖,鄱阳湖,?巢湖,洪泽湖,B
俗称“四不象”的动物是？,麋鹿,羚羊,骡子,驴,A
奥运会上的马拉松比赛的起源与什么有关？,游戏,战争,打赌,竞赛,B
“三十年河东，四十年河西”中的“河”最初指的是？,黄河,淮河,长江,汾河,A
以下表示条件反射的一个成语是？,朝三暮四,耳濡目染,望梅止渴,乐不思蜀,C
我们常说"隔着门缝看人”，当我们隔着门缝看人时，看到的人？,比原来扁了,和原来一样,比原来宽了,,B
比喻粗心大意的人是？,马大哈,不倒翁,糊涂虫,,A
在“夸父逐日”中，“夸父”是怎样追逐太阳的？,驾车,骑马,奔跑,飞行,C
王昭君没有得到汉元帝的召见而远嫁匈奴单于，是因为？,王妃对她的陷害,画师歪曲她的形象,大臣说她的坏话,,B
考拉每天会睡多少个小时？,3—5个小时,5—10个小时,18—22个小时,,C
“红娘”由来是出自下列哪部古典名剧？,《琵琶记》,《西厢记》,《长生殿》?,《桃花扇》,A
奔驰汽车原产于哪一个国家?,美国,日本,德国,英国,C
下列哪个不是美国宝洁公司的产品？,海飞丝洗发水,佳洁士牙膏,汰渍洗衣粉,纳爱斯,D
世界上最大的宫殿是？,故宫,白宫,爱丽舍宫,克里姆林宫,A
一般而言，肥胖是指超过理想体重的百分之多少？,10%,20%,30%,40%,B
一般钢琴是以一连串八度音程的区间所构成，请问同一音程中有几个黑阶？,五个,七个,六个,四个,A
世界哪一个国家的茶叶产量最多？,中国,朝鲜,日本,印度,C
《西游记》中的火焰山在哪里？,中国四川,巴基斯坦,哈萨克斯坦,中国吐鲁番,D
足球共有多少块补丁组成？,32?,36,28?,30,A
弱冠指的是多少岁？,二十岁,十岁,十五岁,二十五岁,A
在“精卫填海”的故事里，“精卫”是？,一个人,一只鸟,一只猴子,一条龙,B
下列作品哪部是巴金的作品有,《骆驼祥子》,《茶馆》, 《家》,《四世同堂》 ,C
"""光年""是什么单位?",时间单位,长度单位,空间单位 ,,B
 "世界艾滋病日"是,5月3日,6月5日,9月16日,12月1日,D
"""碧螺春""茶是一种",红茶,绿茶,青茶,黑茶 ,B
世界上流经国家最多的河流是,多瑙河,尼罗河,莱茵河,亚马逊河 ,A
我国第一大岛是,台湾岛,海南岛,崇明岛,南澳岛 ,A
人体中最大的消化腺是,肝脏,胰脏, 胃 ,肾 ,A
维纳斯是希腊神话中的,智慧女神,爱神与美神,送子观音,,B
人体含水量百分比最高的器官是,肝,肾,眼球,胃,C
校园歌曲《童年》的词曲作者是,黄舒骏,李宗盛,罗大佑,李泰祥,C
"""郁金香""是哪个国家的象征?",英国,挪威,丹麦,荷兰 ,D
"""白雪公主""这个形象最早来自于",　《格林童话》,《安徒生童话》 ,《伊索寓言》,《天方夜谭》 ,A
 "世界三大男高音"中的多明戈和卡雷拉斯都是,意大利人, 西班牙人,匈牙利,奥地利 ,B
"""二人转""是",东北曲艺,陕北曲艺,河南曲艺 ,山东曲艺 ,A
"""五角大楼""是美国哪个机构的代称?",中情局,国防部,信息工程部,劳工部,B
康熙皇帝的庙号是,仁宗,太宗,穆宗, 圣祖,D
世界上最深的海沟位于,太平洋,大西洋,北冰洋,印度洋,A
下列名称不属于二十四节气的是,谷雨,芒种,大伏,霜降 ,C
亡羊补牢中的"牢"指的是,牢房,牲口圈,院子,栅栏 ,B
人的心脏共有几个心房和心室,1个,2个,3个,4个,D
下列哪一个不是我国的领海？,黄海,东海,北海,渤海 ,C
被称作东方威尼斯的是,杭州,苏州,桂林,上海,A
男子竞技体操项目不包括,单杠, 鞍马,高低杠,吊环,C
发射第一颗人造卫星的国家是,前苏联,美国,中国 ,日本,A
郭沫若的诗集有,《死水》,《野草》,《女神》,《红烛》,C
人体的身高与哪一种最有主要的关系,遗传,营养,增高器械,地理环境 ,A
坐长途车要注意揉搓小腿、大腿这是为防止,晕车,心理压力增大,窒息,脚浮肿 ,D
下列哪种食物不是食用菌类?,香菇,芝麻,草菇,木耳 ,B
世界上最大的动物是哪一种?,鲸鱼,水母,恐龙,大象,A
下列鸟类中哪一种是候鸟?,麻雀,喜鹊,黄鹂,啄木鸟,C
人的牙齿一般共有多少枚?,30,32,34,36,B
下列哪种花不属于并称的"花中四君子"之一?,梅花,兰花,荷花,菊花 ,C
贫血主要原因是人体内缺少哪一种元素?,钙 ,铁,碘,氯化纳 ,B
下列哪一种中药名不是以传说取名的?,人参,何首乌,相思子,使君子 ,A
成语"卧薪尝胆"说的是哪个人物的故事?,夫差,夫差,伍子胥,范蠡 ,B
 中国面积最大的省份是哪一个?,四川,新疆 ,内蒙古,西藏 ,B
世界杯足球赛几年举办一次?,二年,三年 ,四年,五年,C
谁是"中山装"的创始人？,黄隆生,孙中山,汪精卫,黄兴,B
中国最大的山城？,重庆市,哈尔滨,都江堰,,A
中国传统《百家姓》里，排在前3位的姓不包括下面哪个？ ,张,孙,李,钱,B
酒后喝什么对身体最有益？,咖啡,蜂蜜水,可乐,,B
下面哪一种是能降血压的蔬菜？,芹菜,马兰,苦瓜,,A
以下不属于交友软件的是,陌陌,探探,男性私人医生,世纪佳缘,C
以下那首歌是歌手周杰伦的代表作,双节棍,遗失的美好,江南,盖世英雄,A
以下哪个不是快乐大本营的主持人？,李维嘉,吴昕,华少,何炅,C
“飞流直下三千尺”是李白赞誉什么山瀑布的诗句？,庐山,黄山,太白山,华山,A
我国一共有多少个民族,23,37,56,78,C
河南省简称什么,晋,冀 ,鲁,豫 ,D
下面各地区被列为我国的直辖市, 重庆 ,河南,武汉 ,,A
我国历史上第一个女皇帝是,吕雉,北魏冯太后,武则天,慈禧太后,C
中国四大发明除了火药、造纸术、指南针三者外，还包括,算盘  ,造船术  ,纺织术,活字印刷书 ,D
“精忠报国”四个字与哪位历史人物有关？,文天祥 ,袁崇焕 ,郑成功,岳飞 ,D
以下哪部是诺贝尔文学奖获得者莫言的作品,《丰臀肥乳》,《一座城池》  ,《白莲花》,,A
倒拔垂杨柳跟下列那个人物有关,鲁智深,吕布,宋江,,A
红楼梦》中性格精明强干，贾府的实际大管家，极尽权术机变，残忍阴毒之能事的是,林黛玉,贾宝玉,薛宝钗 ,王熙凤,D
“白雪公主”这个形象最早来自于,格林童话,安徒生童话,伊索寓言,,B
黄梅戏是哪个省的地方戏？,安徽,湖南 ,湖北 ,福建 ,A
二胡曲《二泉映月》是谁的名曲？,聂耳,罗大佑,周华健,阿炳,D
第一季中国好声音的冠军是谁？,梁博 ,李莫愁 ,吉克隽逸  ,,A
电影《小时代》的导演是谁,郭敬明,韩寒 ,赵薇 ,,A
《西游记》中度过火焰山是向谁借的芭蕉扇,白骨精,玉面公主,铁扇公主,,C
《爱拼才会赢》使用的什么语言演唱的？,粤语,汉语 ,闽南语,泰语,C
《山丹丹开花红艳艳》是哪里的民歌,四川,陕北,山西,,B
以下哪个女星不是泰迪姐妹团的成员？,李小璐,霍思燕,秦岚,刘晓庆,D
以下哪个女星身材最苗条？,李湘,郑爽,张惠妹,韩红,B
2017年爆红的博主是哪位？,papi酱,pipa酱,皮卡丘酱,啪啪酱,A
以下没有《中国有嘻哈》的rapper是,pgone,vava,安娜金,鬼卞,C
周杰伦的老婆是？,昆凌,关凌,关之琳,蔡依林,A
以下没有和赵丽颖合作过的男星是？,霍建华,陈伟霆,尹相杰,林更新,C
请问以下哪个是二次元最心水的APP,blued,哔哩哔哩,快手,中华万年历,B
以下被称为“神仙姐姐”的是谁？,芙蓉姐姐,刘亦菲,凤姐,御姐,B
以下没参加过《演员的诞生》的是哪一位？,欧阳娜娜,周一围,董卿,张雪迎,C
请问人称“娱乐圈纪检委”、“国民老公”的是谁？,王力宏,王思聪,谢飞机,侯耀华,B
以下哪个是娃娃音女星？,那英,林志玲,韩红,田震,B
请问哪个女明星跟张翰交往过？,古力娜扎,迪丽热巴,热依扎,阚清子,A
最爱穿皮裤的明星是哪位？,汪峰,赵本山,刘恺威,陈翔,A
小G娜爆料与其有恋情的是哪位男明星,曾志伟,吴亦凡,张艺兴,吴尊,B
哪个软件可以让女友乖乖减肥？,饿了么,keep,下厨房,回家吃饭,B
请问最近爆火的微信小游戏是？,跳房子,跳皮筋,跳一跳,跳舞毯,C
以下哪个属于演艺圈小鲜肉？,刘德华,刘烨,刘强东,刘昊然,D
还珠三姐妹不包括谁？,赵薇,马丽,林心如,范冰冰,B
请问哪个不是鹿晗主演的电视剧/电影,甜蜜暴击,择天记,马大帅,重返20岁,C
以下不属于撞脸明星的是？,佟丽娅/董璇,张一山/夏雨,李荣浩/周杰伦,吴亦凡/宋小宝,D
以下哪位不是快手网红？,杨清柠,韩安冉,周扬青,王逗逗,C
以下不是SHE成员的是,selina,hebe,bibi,ella,C
以下哪个不是2017热播剧,三生三世十里桃花,白夜追凶,金婚,我的前半生,C
《芳华》的导演是哪位,冯小刚,张艺谋,王刚,陈凯歌,A
以下哪个明星是单身汪？,angelababy,杨紫,高圆圆,柳岩,D
以下那首是《夏至未至》的主题曲？,难忘今宵,追光者,勇敢的心,卖汤圆,B
以下被称为“小笼包”的女明星是谁？,郑爽,陈妍希,古力娜扎,马苏,B
以下哪个不是“大嘴巴”女明星,舒淇,姚晨,关晓彤,,C
哪位男明星出国留学？,谢大脚,胡歌,沈梦辰,林更新,B
请问《三生三世十里桃花》男主角是？,谢霆锋,赵又廷,彭于晏,,B
阿里巴巴的董事局主席是哪个爸爸？,马云,可芸,马化腾,马景涛,A
《QQ飞车》游戏中获得的第一辆车是什么车,新手赛车,大黄蜂,大Q吧,,a
《一起来飞车》游戏中获得的第一辆车是什么车,摩托车,试用车,新手车,,c
被群众俗称为“农药”的在线对战游戏是？,英雄联盟,王者荣耀,炉石传说,,B
被群众俗称为“撸啊撸”的在线对战游戏是？,英雄联盟,风暴英雄,炉石传说,,A
可以各自扮演家庭成员的游戏是？,过家家,斗地主,王者荣耀,,A
最开始让人用手指拼命划手机屏幕的游戏是？,地铁跑酷,水果忍者,神庙逃亡,,B
《火柴人联盟》是一款什么类型的游戏？,休闲益智,动作格斗,体育竞速,,B
微信小程序当中的答题对战游戏是以下哪款？,头脑王者,冲顶大会,百万英雄,,A
《葫芦娃》当中，二娃拥有的技能是？,千里眼顺风耳,隐身术,力大无穷,,A
《七龙珠》当中，孙悟空是哪个星球的人？,赛亚人,地球人,那美克星人,,A
腾讯《最强NBA》是以下哪位球星代言？,科比,乔丹,贝克汉姆,,A
《天使纪元》是以下哪位明星代言？,刘亦菲,赵丽颖,古力娜扎,,A
微信《跳一跳》小游戏当中，以下哪个方块停留2秒后加10分？,污水井盖,魔方,音乐播放器,,B
手游的全称为？,电脑游戏,主机游戏,手机游戏,,C
以下哪款游戏可以与宠物同时进行战斗？,梦幻西游,火柴人联盟,王者荣耀,,A
《王者荣耀》当中铭文的主要作用是？,增加属性,体形变大,好看,,A
《王者荣耀》召唤师等级最高多少级?注意是召唤师噢，不是游戏内。,30,20,40,,A
《保卫萝卜》是一款什么类型的游戏？,飞行射击,动作格斗,策略塔防,,C
《植物大战僵尸》是一款什么类型的游戏？,飞行射击,动作格斗,策略塔防,,C
《奔跑吧兄弟4-撕名牌大战》是一款什么类型的游戏？,飞行射击,角色扮演,横版跑酷,,C
PS系列是哪个公司出的游戏主机？,世嘉,微软,sony,,C
xbox系列是哪个公司出的游戏主机？,世嘉,微软,sony,,B
《荒野行动》中能大幅度降低枪械的后坐力的是,补偿器,消焰器,消声器,,A
《荒野行动》中没有的交通工具是,缆车,补漏车,高铁,,C
这是一道送分题，快选c,C,C,C,,C
“预言家”“狼人”是下列哪款游戏当中的角色,三国杀,狼人杀,大富翁,,B
诸葛亮的妻子是谁？,黄月英,大乔,貂蝉,,A
献连环计火烧赤壁的是谁？,庞统,诸葛亮,郭嘉,,A
张飞在长坂坡吓死谁,夏侯杰,夏侯惇,夏侯渊,,A
曹操在哪场战役中大败袁绍？,官渡之战,赤壁之战,讨伐董卓,,A
曹操的新书叫什么？,《孟德新书》,《青囊书》,《西蜀地形图》,,A
没有参加“三英战吕布”的武将是谁?,赵云,刘备,关羽,,A
谁孤身一人救阿斗于千军万马之中? ,赵云,刘备,关羽,,A
孔明借东风后是由谁接应而免遭周瑜陷害?,赵云,黄忠,张飞,,A
曹操的小名叫什么?,啊满,曹丕,阿瞒,,C
曹操的儿子中谁继承了曹操的霸业?,啊满,曹丕,阿瞒,,B
曹操挟持天子以令诸侯”中的"天子"是指?,汉献帝,汉文帝,汉景帝,,A
三国时期曹操的儿子曹冲称象时的大象是谁送给曹操的?,孙坚,孙策,孙权,,C
被诸葛亮斩首的丢失街亭的蜀将是?,马谡,曹丕,关兴,,A
刮骨疗伤的故事里面出现的主角是谁?,张飞,赵云,关羽,,C
射中关羽并最终让关羽刮骨疗伤的是谁?,夏侯渊,曹丕,曹仁,,C
关羽在曹营时，先斩杀了哪一位袁绍军的大将?,颜良,曹丕,公孙瓒,,A
黄巾贼将“程远志”为谁所杀?,张飞,吕布,关羽,,C
曹植的“洛神赋”指的是谁的妻子? ,孙策,刘备,曹丕,,C
关公坐骑赤兔马原本是谁的?,关羽,吕布,刘备,,B
被诸葛亮斩首的丢失街亭的蜀将是?,马良,关兴,马谡,,C
开心消消乐游戏中金银果树的全称,富饶金银果树,富裕金银果树,富贵金银果树,,a
